,words,count
0,endbadgovernance,630
1,nigeria,274
2,us,250
3,endbadgovernmentinnigeria,224
4,dont,176
5,u,171
6,people,170
7,protest,169
8,police,166
9,go,164
10,god,158
11,one,145
12,dey,144
13,please,141
14,get,140
15,like,136
16,want,133
17,nigerian,133
18,know,132
19,lets,128
20,government,121
21,protesters,119
22,endpolicebrutalityinnigera,115
23,must,113
24,see,112
25,make,107
26,time,107
27,still,101
28,na,99
29,need,95
30,im,95
31,keep,92
32,back,91
33,endbadgovernanceinnigeria,91
34,say,91
35,move,88
36,cant,88
37,follow,87
38,never,85
39,youths,83
40,country,82
41,end,82
42,bettertogether,80
43,good,80
44,man,80
45,tweet,80
46,let,78
47,stop,78
48,henshawkate,75
49,help,73
